test_id,failure_date,module,device,os_version,severity,error_type,resolved
T0030,2025-05-08,Payment,Pixel 8,Android 15,CRITICAL,AssertionError,0
T0502,2025-02-20,Authorization,Samsung S24,Android 15,HIGH,NetworkError,1
T0595,2025-08-22,OTP,Samsung S24,Android 15,CRITICAL,NullPointerException,1
T0267,2025-02-18,Transaction,Pixel 7,Android 14,CRITICAL,AssertionError,0
T0328,2025-04-16,AccountSecurity,iPhone 12,iOS 17,CRITICAL,NullPointerException,0
T0983,2025-06-11,Authorization,Pixel 7,Android 14,CRITICAL,AuthError,1
T0057,2025-03-13,Authentication,Pixel 7,Android 14,CRITICAL,NullPointerException,0
T0898,2025-01-02,OTP,iPhone 12,iOS 17,HIGH,NetworkError,1
T0350,2025-09-14,FraudDetection,iPhone 12,iOS 17,MEDIUM,ValueError,1
T0726,2025-04-23,UPI,iPhone 14,iOS 17,HIGH,NullPointerException,1
T0665,2025-07-06,FraudDetection,iPhone 12,iOS 17,MEDIUM,AuthError,0
T0565,2025-08-28,OTP,Samsung A54,Android 14,CRITICAL,NullPointerException,0
T0215,2025-06-07,UPI,Pixel 8,Android 15,MEDIUM,ValueError,0
T0517,2025-06-17,UPI,iPhone 12,iOS 17,HIGH,AssertionError,0
T0917,2025-05-02,Transaction,Pixel 8,Android 15,HIGH,NullPointerException,1
T0044,2025-04-10,Payment,iPhone 15,iOS 18,MEDIUM,AssertionError,1
T0616,2025-10-14,OTP,iPhone 15,iOS 18,HIGH,AssertionError,0
T0917,2025-03-14,Transaction,Pixel 8,Android 15,HIGH,TimeoutError,0
T0304,2025-05-10,FraudDetection,Pixel 7,Android 14,CRITICAL,AssertionError,1
T0373,2025-05-14,Authorization,iPhone 12,iOS 17,HIGH,NullPointerException,0
T0504,2025-01-25,AccountSecurity,iPhone 15,iOS 18,MEDIUM,AssertionError,0
T0277,2025-02-06,UPI,Pixel 7,Android 14,HIGH,ValueError,0
T0099,2025-04-15,OTP,Pixel 8,Android 15,HIGH,AuthError,0
T0464,2025-11-25,OTP,Samsung S24,Android 15,MEDIUM,NullPointerException,1
T0234,2025-04-22,UPI,iPhone 12,iOS 17,MEDIUM,TimeoutError,0
T0251,2025-04-28,AccountSecurity,iPhone 12,iOS 17,HIGH,AssertionError,0
T0355,2025-04-19,Authorization,iPhone 12,iOS 17,MEDIUM,ValueError,1
T0709,2025-04-05,Transaction,iPhone 12,iOS 17,MEDIUM,NullPointerException,1
T0998,2025-09-22,Transaction,iPhone 12,iOS 17,MEDIUM,AssertionError,1
T0533,2025-08-19,FraudDetection,Pixel 8,Android 15,HIGH,TimeoutError,1
T0840,2025-11-14,Transaction,Samsung S24,Android 15,HIGH,NetworkError,1
T0585,2025-01-25,Authorization,iPhone 14,iOS 17,HIGH,AuthError,1
T0839,2025-07-16,OTP,Samsung A34,Android 13,CRITICAL,TimeoutError,0
T0061,2025-06-25,FraudDetection,Samsung A54,Android 14,MEDIUM,NetworkError,0
T0626,2025-11-30,UPI,Samsung A34,Android 13,MEDIUM,AssertionError,1
T0483,2025-04-25,Authentication,iPhone 12,iOS 17,HIGH,AuthError,1
T0213,2025-07-28,Authorization,iPhone 15,iOS 18,HIGH,AuthError,0
T0809,2025-09-23,OTP,Samsung A34,Android 13,MEDIUM,AssertionError,0
T0213,2025-01-13,Authorization,iPhone 15,iOS 18,HIGH,NetworkError,0
T0130,2025-12-28,AccountSecurity,Samsung A34,Android 13,CRITICAL,NullPointerException,1
T0894,2025-02-15,UPI,iPhone 15,iOS 18,HIGH,AuthError,1
T0806,2025-11-30,AccountSecurity,Samsung A54,Android 14,MEDIUM,TimeoutError,0
T0931,2025-11-26,AccountSecurity,Samsung A54,Android 14,CRITICAL,NetworkError,0
T0828,2025-11-07,Authorization,Samsung A34,Android 13,MEDIUM,AuthError,0
T0076,2025-10-29,UPI,iPhone 14,iOS 17,HIGH,NetworkError,0
T0054,2025-07-20,Authentication,iPhone 15,iOS 18,MEDIUM,NullPointerException,1
T0358,2025-03-24,Payment,iPhone 14,iOS 17,MEDIUM,AssertionError,1
T0134,2025-01-23,Authorization,Samsung A54,Android 14,HIGH,NullPointerException,1
T0245,2025-03-06,AccountSecurity,iPhone 15,iOS 18,MEDIUM,TimeoutError,0
T0564,2025-08-09,Payment,iPhone 14,iOS 17,CRITICAL,NetworkError,1
T0877,2025-04-05,AccountSecurity,Samsung A34,Android 13,MEDIUM,NetworkError,0
T0002,2025-04-25,AccountSecurity,iPhone 15,iOS 18,HIGH,NullPointerException,0
T0587,2025-12-14,FraudDetection,Pixel 8,Android 15,HIGH,NullPointerException,1
T0469,2025-01-17,Transaction,Samsung A54,Android 14,MEDIUM,TimeoutError,1
T0514,2025-07-25,AccountSecurity,Samsung A34,Android 13,MEDIUM,AssertionError,1
T0111,2025-03-23,FraudDetection,Pixel 8,Android 15,HIGH,AuthError,1
T0261,2025-05-14,Authentication,iPhone 14,iOS 17,HIGH,AuthError,0
T0395,2025-04-01,UPI,Pixel 8,Android 15,CRITICAL,NullPointerException,1
T0857,2025-03-30,Authentication,Samsung S24,Android 15,HIGH,ValueError,0
T0255,2025-05-19,FraudDetection,Pixel 7,Android 14,CRITICAL,NullPointerException,0
T0114,2025-01-26,AccountSecurity,Samsung S24,Android 15,HIGH,AuthError,1
T0992,2025-05-18,UPI,iPhone 12,iOS 17,HIGH,NetworkError,0
T0931,2025-12-10,AccountSecurity,Samsung A54,Android 14,MEDIUM,TimeoutError,0
T0745,2025-09-09,Payment,Pixel 7,Android 14,CRITICAL,ValueError,1
T0157,2025-05-22,FraudDetection,Pixel 8,Android 15,MEDIUM,NetworkError,1
T0737,2025-11-03,OTP,Samsung A34,Android 13,CRITICAL,ValueError,0
T0569,2025-03-05,AccountSecurity,Samsung A54,Android 14,HIGH,TimeoutError,0
T0456,2025-03-05,UPI,iPhone 15,iOS 18,CRITICAL,TimeoutError,1
T0374,2025-03-20,UPI,iPhone 12,iOS 17,MEDIUM,NetworkError,1
T0537,2025-12-13,UPI,Samsung S24,Android 15,HIGH,NullPointerException,0
T0541,2025-02-04,Authentication,iPhone 14,iOS 17,CRITICAL,TimeoutError,1
T0765,2025-10-19,Authorization,iPhone 15,iOS 18,MEDIUM,TimeoutError,0
T0066,2025-05-06,Payment,Samsung A54,Android 14,MEDIUM,NullPointerException,1
T0373,2025-08-20,Authorization,iPhone 12,iOS 17,CRITICAL,NetworkError,0
T0116,2025-07-10,Transaction,Samsung A34,Android 13,HIGH,NullPointerException,0
T0824,2025-12-10,Payment,Samsung A34,Android 13,HIGH,AuthError,1
T0363,2025-12-28,Authorization,Pixel 8,Android 15,HIGH,NullPointerException,0
T0330,2025-12-28,Transaction,Samsung A54,Android 14,MEDIUM,AssertionError,0
T0057,2025-05-03,Authentication,Pixel 7,Android 14,CRITICAL,NullPointerException,0
T0857,2025-07-09,Authentication,Samsung S24,Android 15,HIGH,AuthError,1
T0594,2025-09-10,Authentication,Samsung S24,Android 15,CRITICAL,NullPointerException,1
T0120,2025-08-04,UPI,Pixel 8,Android 15,HIGH,TimeoutError,0
T0102,2025-08-31,UPI,Samsung A54,Android 14,CRITICAL,AuthError,0
T0862,2025-02-27,FraudDetection,Samsung A54,Android 14,MEDIUM,AuthError,1
T0267,2025-05-16,Transaction,Pixel 7,Android 14,MEDIUM,NullPointerException,0
T0948,2025-01-14,FraudDetection,Pixel 8,Android 15,MEDIUM,NetworkError,1
T0043,2025-11-04,FraudDetection,iPhone 14,iOS 17,MEDIUM,AuthError,1
T0105,2025-02-01,UPI,Samsung S24,Android 15,HIGH,AuthError,0
T0300,2025-10-16,Payment,iPhone 14,iOS 17,HIGH,TimeoutError,0
T0179,2025-11-17,AccountSecurity,Pixel 7,Android 14,HIGH,TimeoutError,1
T0352,2025-12-16,OTP,Pixel 7,Android 14,CRITICAL,NullPointerException,0
T0400,2025-09-11,OTP,Samsung S24,Android 15,HIGH,TimeoutError,0
T0474,2025-10-18,Authentication,Pixel 7,Android 14,CRITICAL,NullPointerException,0
T0044,2025-04-12,Payment,iPhone 15,iOS 18,HIGH,TimeoutError,1
T0268,2025-08-25,OTP,iPhone 14,iOS 17,HIGH,TimeoutError,1
T0043,2025-02-22,FraudDetection,iPhone 14,iOS 17,CRITICAL,NullPointerException,1
T0593,2025-02-05,Payment,Samsung S24,Android 15,MEDIUM,ValueError,1
T0959,2025-09-30,OTP,Samsung A34,Android 13,CRITICAL,NetworkError,0
T0537,2025-05-17,UPI,Samsung S24,Android 15,CRITICAL,TimeoutError,1
T0188,2025-01-09,OTP,iPhone 15,iOS 18,CRITICAL,ValueError,0
T0892,2025-03-07,Payment,Samsung A34,Android 13,HIGH,NullPointerException,1
T0959,2025-12-02,OTP,Samsung A34,Android 13,MEDIUM,NullPointerException,1
T0483,2025-12-08,Authentication,iPhone 12,iOS 17,CRITICAL,AssertionError,0
T0855,2025-08-18,Authentication,Samsung A34,Android 13,MEDIUM,NetworkError,1
T0158,2025-11-01,Transaction,iPhone 14,iOS 17,MEDIUM,AssertionError,1
T0154,2025-12-21,Authentication,Pixel 8,Android 15,CRITICAL,NetworkError,1
T0734,2025-02-28,Authentication,iPhone 14,iOS 17,CRITICAL,ValueError,1
T0999,2025-08-17,Authorization,Samsung S24,Android 15,MEDIUM,AuthError,0
T0170,2025-04-01,FraudDetection,Pixel 8,Android 15,MEDIUM,TimeoutError,1
T0317,2025-01-19,OTP,Samsung A54,Android 14,HIGH,NetworkError,1
T0917,2025-08-11,Transaction,Pixel 8,Android 15,CRITICAL,NetworkError,1
T0254,2025-11-05,Authorization,Samsung S24,Android 15,HIGH,NetworkError,0
T0061,2025-06-20,FraudDetection,Samsung A54,Android 14,MEDIUM,AssertionError,1
T0365,2025-07-10,Transaction,Samsung A34,Android 13,MEDIUM,NullPointerException,1
T0091,2025-09-05,UPI,iPhone 15,iOS 18,CRITICAL,TimeoutError,0
T0977,2025-01-29,Transaction,iPhone 14,iOS 17,MEDIUM,NetworkError,1
T0956,2025-03-08,UPI,Samsung A54,Android 14,CRITICAL,TimeoutError,1
T0781,2025-07-18,OTP,Pixel 8,Android 15,HIGH,TimeoutError,0
T0589,2025-02-05,Transaction,Pixel 7,Android 14,CRITICAL,AuthError,1
T0781,2025-06-25,OTP,Pixel 8,Android 15,HIGH,TimeoutError,1
T0424,2025-11-16,Authorization,iPhone 12,iOS 17,HIGH,NullPointerException,0
T0619,2025-11-04,Payment,Samsung A54,Android 14,MEDIUM,NetworkError,0
T0748,2025-04-11,FraudDetection,Samsung A54,Android 14,CRITICAL,ValueError,1
T0399,2025-01-14,FraudDetection,iPhone 12,iOS 17,CRITICAL,TimeoutError,1
T0140,2025-04-11,Authorization,iPhone 14,iOS 17,MEDIUM,NetworkError,1
T0055,2025-04-16,FraudDetection,iPhone 15,iOS 18,HIGH,ValueError,1
T0741,2025-10-03,AccountSecurity,iPhone 15,iOS 18,HIGH,AssertionError,1
T0188,2025-08-18,OTP,iPhone 15,iOS 18,MEDIUM,TimeoutError,1
T0129,2025-10-13,Authorization,iPhone 15,iOS 18,MEDIUM,AuthError,1
T0993,2025-08-12,Authorization,Samsung A54,Android 14,CRITICAL,ValueError,0
T0580,2025-03-22,OTP,iPhone 12,iOS 17,MEDIUM,NullPointerException,1
T0817,2025-12-01,Authentication,Samsung S24,Android 15,MEDIUM,NullPointerException,1
T0039,2025-04-11,Transaction,Samsung A34,Android 13,CRITICAL,NetworkError,1
T0986,2025-02-16,AccountSecurity,iPhone 12,iOS 17,CRITICAL,AssertionError,0
T0175,2025-07-11,FraudDetection,iPhone 12,iOS 17,HIGH,ValueError,0
T0748,2025-08-25,FraudDetection,Samsung A54,Android 14,CRITICAL,ValueError,0
T0684,2025-01-08,FraudDetection,Samsung S24,Android 15,HIGH,TimeoutError,0
T0501,2025-06-27,OTP,Pixel 8,Android 15,MEDIUM,NetworkError,1
T0723,2025-10-14,Payment,iPhone 15,iOS 18,CRITICAL,NullPointerException,1
T0767,2025-08-27,UPI,Samsung A54,Android 14,MEDIUM,ValueError,1
T0767,2025-03-08,UPI,Samsung A54,Android 14,CRITICAL,AuthError,0
T0786,2025-07-06,AccountSecurity,Samsung A34,Android 13,MEDIUM,AuthError,1
T0655,2025-06-20,UPI,iPhone 14,iOS 17,HIGH,AuthError,0
T0578,2025-11-08,Authentication,Samsung A54,Android 14,MEDIUM,NetworkError,0
T0612,2025-07-29,OTP,Pixel 7,Android 14,MEDIUM,ValueError,0
T0485,2025-01-24,FraudDetection,Samsung S24,Android 15,HIGH,NetworkError,1
T0693,2025-05-23,UPI,Samsung S24,Android 15,CRITICAL,AuthError,1
T0723,2025-05-12,Payment,iPhone 15,iOS 18,HIGH,NullPointerException,0
T0841,2025-06-17,Payment,iPhone 12,iOS 17,MEDIUM,AssertionError,0
T0336,2025-02-08,Authentication,Samsung A54,Android 14,HIGH,AuthError,0
T0611,2025-07-30,Transaction,Pixel 7,Android 14,MEDIUM,NullPointerException,0
T0716,2025-04-29,Authentication,iPhone 14,iOS 17,HIGH,AuthError,0
T0999,2025-01-21,Authorization,Samsung S24,Android 15,HIGH,TimeoutError,1
T0261,2025-10-12,Authentication,iPhone 14,iOS 17,MEDIUM,NullPointerException,0
T0462,2025-08-19,OTP,iPhone 12,iOS 17,CRITICAL,TimeoutError,0
T0513,2025-12-28,Payment,Samsung A34,Android 13,MEDIUM,NullPointerException,0
T0255,2025-08-25,FraudDetection,Pixel 7,Android 14,MEDIUM,TimeoutError,0
T0997,2025-04-25,Payment,Samsung S24,Android 15,CRITICAL,AuthError,1
T0515,2025-09-10,FraudDetection,iPhone 14,iOS 17,MEDIUM,NetworkError,0
T0871,2025-11-17,Payment,Pixel 8,Android 15,CRITICAL,ValueError,0
T0113,2025-01-05,Authorization,Pixel 7,Android 14,HIGH,NetworkError,0
T0994,2025-12-28,Authorization,Pixel 7,Android 14,HIGH,AuthError,1
T0784,2025-07-22,OTP,iPhone 12,iOS 17,HIGH,NetworkError,1
T0465,2025-08-18,UPI,Pixel 8,Android 15,HIGH,NetworkError,1
T0694,2025-12-31,Transaction,iPhone 14,iOS 17,HIGH,ValueError,1
T0302,2025-01-25,UPI,Pixel 8,Android 15,HIGH,AssertionError,1
T0921,2025-08-24,Authorization,Samsung S24,Android 15,HIGH,NetworkError,1
T0679,2025-05-09,Authentication,Pixel 8,Android 15,MEDIUM,ValueError,0
T0234,2025-11-29,UPI,iPhone 12,iOS 17,MEDIUM,ValueError,0
T0955,2025-10-12,Transaction,Pixel 7,Android 14,CRITICAL,NullPointerException,0
T0199,2025-12-13,OTP,Pixel 8,Android 15,MEDIUM,NetworkError,1
T0555,2025-06-30,FraudDetection,iPhone 12,iOS 17,MEDIUM,AuthError,1
T0222,2025-09-28,Transaction,Samsung A34,Android 13,HIGH,ValueError,1
T0169,2025-07-15,Authentication,Samsung A54,Android 14,HIGH,ValueError,1
T0358,2025-11-27,Payment,iPhone 14,iOS 17,MEDIUM,AssertionError,1
T0378,2025-05-02,FraudDetection,iPhone 15,iOS 18,CRITICAL,AuthError,1
T0262,2025-04-21,OTP,Pixel 8,Android 15,MEDIUM,AssertionError,1
T0255,2025-07-13,FraudDetection,Pixel 7,Android 14,HIGH,NullPointerException,0
T0897,2025-08-17,Authentication,iPhone 15,iOS 18,MEDIUM,TimeoutError,1
T0358,2025-01-26,Payment,iPhone 14,iOS 17,CRITICAL,NullPointerException,0
T0317,2025-09-08,OTP,Samsung A54,Android 14,CRITICAL,ValueError,0
T0776,2025-06-17,OTP,Samsung A34,Android 13,MEDIUM,NetworkError,0
T0232,2025-11-02,Transaction,iPhone 15,iOS 18,HIGH,NetworkError,0
T0011,2025-09-15,FraudDetection,iPhone 14,iOS 17,HIGH,NetworkError,1
T0752,2025-12-04,FraudDetection,iPhone 15,iOS 18,HIGH,AssertionError,1
T0014,2025-04-22,AccountSecurity,Samsung S24,Android 15,HIGH,NetworkError,0
T0587,2025-04-10,FraudDetection,Pixel 8,Android 15,HIGH,AssertionError,1
T0655,2025-08-16,UPI,iPhone 14,iOS 17,CRITICAL,TimeoutError,1
T0481,2025-12-05,Authorization,Samsung A54,Android 14,HIGH,NetworkError,1
T0047,2025-01-23,OTP,Pixel 8,Android 15,MEDIUM,NullPointerException,0
T0804,2025-12-17,AccountSecurity,iPhone 15,iOS 18,CRITICAL,AssertionError,0
T0595,2025-02-02,OTP,Samsung S24,Android 15,HIGH,AssertionError,0
T0299,2025-07-19,UPI,Pixel 8,Android 15,CRITICAL,AuthError,1
T0455,2025-05-10,Payment,iPhone 12,iOS 17,MEDIUM,AuthError,1
T0055,2025-10-10,FraudDetection,iPhone 15,iOS 18,MEDIUM,TimeoutError,1
T0310,2025-12-29,FraudDetection,Samsung S24,Android 15,CRITICAL,AuthError,0
T0014,2025-03-26,AccountSecurity,Samsung S24,Android 15,HIGH,TimeoutError,1
T0465,2025-03-24,UPI,Pixel 8,Android 15,HIGH,NetworkError,0
T0433,2025-04-16,Authorization,Pixel 7,Android 14,MEDIUM,NullPointerException,0
T0409,2025-11-29,Authentication,Pixel 8,Android 15,MEDIUM,NullPointerException,1
T0065,2025-12-12,Authorization,Pixel 7,Android 14,MEDIUM,AuthError,0
T0386,2025-02-21,OTP,iPhone 12,iOS 17,HIGH,NetworkError,0
T0647,2025-05-01,Payment,Samsung A34,Android 13,HIGH,AuthError,1
T0550,2025-10-27,AccountSecurity,iPhone 15,iOS 18,CRITICAL,NullPointerException,1
T0457,2025-04-19,UPI,Samsung S24,Android 15,MEDIUM,NetworkError,1
T0479,2025-07-31,Authorization,iPhone 15,iOS 18,MEDIUM,TimeoutError,1
T0209,2025-02-14,OTP,Pixel 8,Android 15,HIGH,NullPointerException,1
T0827,2025-03-31,OTP,Pixel 8,Android 15,MEDIUM,AuthError,0
T0131,2025-12-16,Authentication,iPhone 14,iOS 17,HIGH,NetworkError,1
T0870,2025-02-20,FraudDetection,Samsung A54,Android 14,HIGH,TimeoutError,0
T0277,2025-08-12,UPI,Pixel 7,Android 14,HIGH,AuthError,0
T0809,2025-11-22,OTP,Samsung A34,Android 13,HIGH,AuthError,0
T0689,2025-05-21,FraudDetection,Samsung A34,Android 13,CRITICAL,ValueError,1
T0208,2025-12-28,Authorization,Samsung S24,Android 15,MEDIUM,AssertionError,0
T0223,2025-10-10,AccountSecurity,Samsung A34,Android 13,HIGH,AuthError,1
T0767,2025-08-16,UPI,Samsung A54,Android 14,HIGH,TimeoutError,1
T0853,2025-07-07,OTP,Samsung S24,Android 15,MEDIUM,NetworkError,0
T0821,2025-07-17,UPI,iPhone 14,iOS 17,CRITICAL,AuthError,1
T0487,2025-05-02,Authorization,iPhone 12,iOS 17,CRITICAL,ValueError,1
T0960,2025-02-20,OTP,iPhone 12,iOS 17,HIGH,NullPointerException,1
T0255,2025-07-11,FraudDetection,Pixel 7,Android 14,HIGH,ValueError,1
T0110,2025-10-15,Authentication,Pixel 8,Android 15,MEDIUM,TimeoutError,0
T0729,2025-12-19,Payment,Samsung A54,Android 14,MEDIUM,NullPointerException,1
T0048,2025-05-08,Transaction,Samsung A54,Android 14,HIGH,ValueError,1
T0782,2025-07-13,Authorization,Samsung S24,Android 15,CRITICAL,ValueError,0
T0056,2025-05-31,Transaction,Samsung A34,Android 13,HIGH,AssertionError,1
T0667,2025-02-10,AccountSecurity,Pixel 8,Android 15,CRITICAL,NullPointerException,1
T0175,2025-03-07,FraudDetection,iPhone 12,iOS 17,MEDIUM,AssertionError,1
T0505,2025-07-07,Payment,Samsung A54,Android 14,CRITICAL,NetworkError,0
T0291,2025-02-26,AccountSecurity,Samsung S24,Android 15,MEDIUM,NullPointerException,0
T0185,2025-05-03,AccountSecurity,iPhone 15,iOS 18,CRITICAL,TimeoutError,0
T0669,2025-11-02,OTP,iPhone 14,iOS 17,CRITICAL,NullPointerException,1
T0257,2025-02-14,UPI,iPhone 14,iOS 17,MEDIUM,NetworkError,1
T0011,2025-05-16,FraudDetection,iPhone 14,iOS 17,MEDIUM,TimeoutError,1
T0884,2025-10-28,Payment,iPhone 14,iOS 17,CRITICAL,TimeoutError,1
T0549,2025-04-30,UPI,Samsung A54,Android 14,MEDIUM,NullPointerException,0
T0284,2025-01-31,Payment,iPhone 14,iOS 17,CRITICAL,NetworkError,0
T0031,2025-09-27,OTP,Samsung A54,Android 14,MEDIUM,TimeoutError,0
T0882,2025-02-11,Transaction,iPhone 15,iOS 18,MEDIUM,AssertionError,0
T0602,2025-11-16,Authorization,Samsung A54,Android 14,CRITICAL,AssertionError,0
T0372,2025-06-04,FraudDetection,Pixel 7,Android 14,HIGH,ValueError,0
T0083,2025-04-20,UPI,Samsung A34,Android 13,HIGH,NullPointerException,1
T0025,2025-10-14,Payment,Samsung S24,Android 15,MEDIUM,TimeoutError,1
T0277,2025-03-10,UPI,Pixel 7,Android 14,CRITICAL,NetworkError,1
T0409,2025-08-20,Authentication,Pixel 8,Android 15,HIGH,TimeoutError,1
T0991,2025-01-29,AccountSecurity,Pixel 7,Android 14,CRITICAL,TimeoutError,1
T0072,2025-03-19,Authorization,Samsung A54,Android 14,CRITICAL,NullPointerException,0
T0956,2025-12-20,UPI,Samsung A54,Android 14,MEDIUM,ValueError,0
T0320,2025-12-04,AccountSecurity,iPhone 15,iOS 18,HIGH,NullPointerException,0
T0350,2025-03-28,FraudDetection,iPhone 12,iOS 17,MEDIUM,NullPointerException,1
T0061,2025-02-18,FraudDetection,Samsung A54,Android 14,MEDIUM,NetworkError,0
T0617,2025-06-25,OTP,Samsung A34,Android 13,HIGH,NullPointerException,0
T0575,2025-10-26,AccountSecurity,Samsung A34,Android 13,CRITICAL,NullPointerException,1
T0846,2025-10-30,AccountSecurity,iPhone 15,iOS 18,MEDIUM,AssertionError,1
T0588,2025-10-02,Payment,Pixel 7,Android 14,MEDIUM,NullPointerException,0
T0463,2025-09-13,AccountSecurity,iPhone 14,iOS 17,CRITICAL,AssertionError,0
T0834,2025-09-20,Authorization,Pixel 7,Android 14,CRITICAL,ValueError,0
T0377,2025-06-06,FraudDetection,Samsung A54,Android 14,HIGH,NullPointerException,0
T0378,2025-07-26,FraudDetection,iPhone 15,iOS 18,HIGH,ValueError,1
T0485,2025-01-28,FraudDetection,Samsung S24,Android 15,CRITICAL,TimeoutError,0
T0363,2025-11-29,Authorization,Pixel 8,Android 15,CRITICAL,TimeoutError,0
T0454,2025-10-31,AccountSecurity,iPhone 12,iOS 17,CRITICAL,TimeoutError,0
T0923,2025-03-10,Authorization,iPhone 14,iOS 17,MEDIUM,NullPointerException,1
T0301,2025-03-01,Authorization,Pixel 8,Android 15,CRITICAL,NetworkError,0
T0169,2025-02-05,Authentication,Samsung A54,Android 14,CRITICAL,ValueError,0
T0144,2025-08-22,Authentication,iPhone 15,iOS 18,MEDIUM,TimeoutError,0
T0638,2025-11-05,Transaction,Samsung A34,Android 13,MEDIUM,NullPointerException,0
T0749,2025-01-01,UPI,iPhone 15,iOS 18,MEDIUM,NullPointerException,0
T0967,2025-02-21,Authentication,Pixel 7,Android 14,CRITICAL,AuthError,0
T0282,2025-08-29,FraudDetection,Samsung A34,Android 13,CRITICAL,AssertionError,1
T0579,2025-10-11,UPI,Pixel 8,Android 15,MEDIUM,NullPointerException,0
T0388,2025-02-27,Payment,Pixel 8,Android 15,CRITICAL,TimeoutError,0
T0737,2025-06-13,OTP,Samsung A34,Android 13,HIGH,NetworkError,1
T0963,2025-06-07,Authentication,Pixel 8,Android 15,HIGH,AuthError,0
T0113,2025-11-23,Authorization,Pixel 7,Android 14,MEDIUM,NetworkError,1
T0374,2025-10-16,UPI,iPhone 12,iOS 17,CRITICAL,ValueError,0
T0511,2025-08-26,UPI,Pixel 8,Android 15,CRITICAL,ValueError,0
T0306,2025-11-23,Authentication,Pixel 8,Android 15,MEDIUM,AuthError,0
T0420,2025-10-02,AccountSecurity,Pixel 7,Android 14,MEDIUM,TimeoutError,0
T0745,2025-08-08,Payment,Pixel 7,Android 14,CRITICAL,TimeoutError,0
T0645,2025-03-20,Payment,Samsung A54,Android 14,CRITICAL,TimeoutError,1
T0623,2025-11-18,OTP,Samsung A54,Android 14,HIGH,NullPointerException,1
T0716,2025-09-02,Authentication,iPhone 14,iOS 17,MEDIUM,AssertionError,1
T0586,2025-03-14,Payment,Pixel 7,Android 14,CRITICAL,NullPointerException,0
T0060,2025-06-07,Payment,iPhone 15,iOS 18,MEDIUM,ValueError,1
T0634,2025-12-27,Authentication,Pixel 7,Android 14,CRITICAL,AuthError,0
T0386,2025-12-12,OTP,iPhone 12,iOS 17,CRITICAL,AssertionError,0
T0964,2025-06-28,Authentication,Pixel 7,Android 14,CRITICAL,NetworkError,1
T0148,2025-05-16,Payment,iPhone 14,iOS 17,MEDIUM,AuthError,0
T0841,2025-03-18,Payment,iPhone 12,iOS 17,HIGH,NetworkError,0
T0096,2025-08-28,Transaction,iPhone 14,iOS 17,CRITICAL,NullPointerException,0
T0529,2025-08-21,Authentication,Pixel 7,Android 14,MEDIUM,NullPointerException,1
T0284,2025-01-27,Payment,iPhone 14,iOS 17,HIGH,AssertionError,0
T0310,2025-05-31,FraudDetection,Samsung S24,Android 15,MEDIUM,TimeoutError,0
T0815,2025-07-17,OTP,iPhone 14,iOS 17,HIGH,TimeoutError,0
